COMMENT,Comment,NodeComment
COMMENT, Comment_Reply, Comment1
EVALUATION,AssessmentRequested,AchievedCompetenceRequest
EVALUATION,AssessmentRequested,NodeRequest
EVALUATION,SERVICEUSE,ASK_FOR_EVALUATION_DIALOG
JOIN,JOIN_GOAL_INVITATION,NodeRequest
JOIN,JOIN_GOAL_REQUEST,NodeRequest
JOIN,SERVICEUSE,INVITE_GOAL_COLLABORATOR_DIALOG
JOIN,SERVICEUSE,REQUEST_TO_JOIN_GOAL_DIALOG
LIKE,Like,Competence
LIKE,Like,CourseSocialActivity
LIKE,Like,DefaultSocialActivity
LIKE,Like,GoalNoteSocialActivity
LIKE,Like,NodeComment
LIKE,Like,NodeSocialActivity
LIKE,Like,NodeUserSocialActivity
LIKE,Like,PostSocialActivity
LIKE,Like,ResourceActivity
LIKE,Like,SocialActivityComment
LIKE,Like,TwitterPostSocialActivity
LIKE,Like,UserSocialActivity
LIKE, RemoveLike, Comment1
LIKE, Like, Comment1
MESSAGE,SEND_MESSAGE,SimpleOfflineMessage
MESSAGE,SERVICEUSE,DIRECT_MESSAGE_DIALOG
MESSAGE,START_MESSAGE_THREAD,MessagesThread
MESSAGE,UPDATE_MESSAGE_THREAD,MessagesThread
MESSAGE,SERVICEUSE,INBOX
MESSAGE,SERVICEUSE,USERDIALOG
MESSAGE,SERVICEUSE,USER_DIALOG
SEARCH,SERVICEUSE,SEARCHPEOPLE
SEARCH,SERVICEUSE,SEARCH_PEOPLE
